hpo_id,name,definition,synonyms,ref,related_diseases,related_genes
HP:0002923,Rheumatoid factor positive,The presence in the serum of an autoantibody directed against the Fc portion of IgG.,,SNOMEDCT_US:165839004|UMLS:C0151379,OMIM:615816|OMIM:601859|ORPHA:829|OMIM:603909|ORPHA:809|ORPHA:183|ORPHA:163525|ORPHA:48435|OMIM:301109|ORPHA:781|ORPHA:443811|OMIM:620376|ORPHA:90280|ORPHA:1159|ORPHA:449395|ORPHA:79099|OMIM:180300|OMIM:106300|OMIM:620321|OMIM:619632|ORPHA:91139|OMIM:618935|ORPHA:596448|ORPHA:3261|ORPHA:49041|ORPHA:728|ORPHA:90060|OMIM:209950|ORPHA:85435|OMIM:618852|OMIM:615934|ORPHA:99931|ORPHA:1304,NCBIGene:5238:PGM3|NCBIGene:356:FASLG|NCBIGene:355:FAS|NCBIGene:843:CASP10|NCBIGene:139818:DOCK11|NCBIGene:4067:LYN|NCBIGene:8838:CCN6|NCBIGene:51744:CD244|NCBIGene:26191:PTPN22|NCBIGene:4261:CIITA|NCBIGene:4795:NFKBIL1|NCBIGene:3586:IL10|NCBIGene:6583:SLC22A4|NCBIGene:3106:HLA-B|NCBIGene:713:C1QB|NCBIGene:29775:CARD10|NCBIGene:79415:CYBC1|NCBIGene:3459:IFNGR1|NCBIGene:8737:RIPK1|NCBIGene:340061:STING1
HP:0003262,Anti-smooth muscle antibody positivity,The presence in serum of antibodies against smooth muscle.,Anti-smooth muscle antibody positivity|Smooth muscle antibody positive|Smooth muscle antibody positivity,SNOMEDCT_US:310290006|UMLS:C0241185,OMIM:610163|ORPHA:99931|OMIM:603909|ORPHA:228426|ORPHA:49041|ORPHA:2137|ORPHA:781|OMIM:301109|ORPHA:1018|OMIM:601859|ORPHA:562639|ORPHA:64743,NCBIGene:919:CD247|NCBIGene:843:CASP10|NCBIGene:83737:ITCH|NCBIGene:139818:DOCK11|NCBIGene:1288:COL4A6|NCBIGene:1287:COL4A5|NCBIGene:356:FASLG|NCBIGene:355:FAS
HP:0003453,Antineutrophil antibody positivity,The presence of autoantibodies in the serum that react against neutrophils.,Antineutrophil antibodies|Neutrophil antibody positive,UMLS:C1858981,OMIM:618394|ORPHA:596448|OMIM:619573|ORPHA:60|OMIM:608710|OMIM:617718|OMIM:614420|OMIM:601859|OMIM:620825|ORPHA:536|ORPHA:2137|ORPHA:49041|ORPHA:3261|ORPHA:93552|ORPHA:486|ORPHA:90060|OMIM:603909|ORPHA:2688|ORPHA:99931|ORPHA:228426|OMIM:301078|ORPHA:464370|ORPHA:183|ORPHA:900|ORPHA:727|OMIM:256810|ORPHA:79078|OMIM:620815|OMIM:233450|ORPHA:93126|OMIM:615934|ORPHA:199241|OMIM:301109|ORPHA:48435|ORPHA:449400|OMIM:620813|ORPHA:91414,NCBIGene:60468:BACH2|NCBIGene:50619:DEF6|NCBIGene:5265:SERPINA1|NCBIGene:10095:ARPC1B|NCBIGene:1776:DNASE1L3|NCBIGene:356:FASLG|NCBIGene:355:FAS|NCBIGene:23308:ICOSLG|NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:51284:TLR7|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:3123:HLA-DRB1|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK|NCBIGene:843:CASP10|NCBIGene:6303:SAT1|NCBIGene:6728:SRP19|NCBIGene:2672:GFI1|NCBIGene:10312:TCIRG1|NCBIGene:1991:ELANE|NCBIGene:81570:CLPB|NCBIGene:83737:ITCH|NCBIGene:51311:TLR8|NCBIGene:3115:HLA-DPB1|NCBIGene:5657:PRTN3|NCBIGene:3113:HLA-DPA1|NCBIGene:4358:MPV17|NCBIGene:8625:RFXANK|NCBIGene:340061:STING1|NCBIGene:440275:EIF2AK4|NCBIGene:139818:DOCK11|NCBIGene:6891:TAP2|NCBIGene:1499:CTNNB1
HP:0003454,Platelet antibody positive,The presence in the serum of autoantibodies directed against thrombocytes.,Platelet antibody,UMLS:C1858980,OMIM:603909|OMIM:188030|OMIM:601859,NCBIGene:843:CASP10|NCBIGene:356:FASLG|NCBIGene:355:FAS
HP:0003493,Antinuclear antibody positivity,The presence of autoantibodies in the serum that react against nuclei or nuclear components.,Antinuclear antibodies|Antinuclear antibody positive|Elevated antinuclear antibody|Serum antinuclear antibody,SNOMEDCT_US:165850001|UMLS:C0151480,ORPHA:90291|OMIM:613471|ORPHA:536|ORPHA:596448|OMIM:615934|ORPHA:93126|OMIM:621018|ORPHA:50918|ORPHA:90060|OMIM:620322|OMIM:617718|ORPHA:206572|OMIM:603909|ORPHA:331235|OMIM:618534|ORPHA:85436|ORPHA:2137|ORPHA:3261|OMIM:607944|ORPHA:186|OMIM:152700|ORPHA:542643|OMIM:619375|ORPHA:1855|ORPHA:449395|OMIM:620321|OMIM:301080|OMIM:614468|ORPHA:85408|ORPHA:562639|OMIM:301109|ORPHA:470|ORPHA:449563|OMIM:614420|ORPHA:90280|ORPHA:90283|OMIM:617388|ORPHA:449400|OMIM:620514|OMIM:613495|ORPHA:93552|OMIM:618795|ORPHA:79480|ORPHA:829|OMIM:601859|OMIM:609939|OMIM:608810|ORPHA:95512|ORPHA:163525|ORPHA:199241|ORPHA:231111|OMIM:616414|OMIM:618852|ORPHA:2298|OMIM:259600|ORPHA:91355|OMIM:256810|OMIM:616744|ORPHA:79078|ORPHA:732|ORPHA:95513|OMIM:619632|OMIM:618048|ORPHA:99931|OMIM:610448|ORPHA:85410|ORPHA:728|OMIM:615559|ORPHA:48435|ORPHA:90159|ORPHA:1929|OMIM:620776|ORPHA:90002|ORPHA:289390|ORPHA:567544|ORPHA:809|ORPHA:221|OMIM:620376,NCBIGene:3930:LBR|NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:51284:TLR7|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:3123:HLA-DRB1|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK|NCBIGene:340061:STING1|NCBIGene:129607:CMPK2|NCBIGene:714:C1QC|NCBIGene:10095:ARPC1B|NCBIGene:843:CASP10|NCBIGene:10125:RASGRP1|NCBIGene:355:FAS|NCBIGene:356:FASLG|NCBIGene:54:ACP5|NCBIGene:5450:POU2AF1|NCBIGene:3594:IL12RB1|NCBIGene:23534:TNPO3|NCBIGene:6689:SPIB|NCBIGene:79258:MMEL1|NCBIGene:9966:TNFSF15|NCBIGene:3592:IL12A|NCBIGene:2212:FCGR2A|NCBIGene:8651:SOCS1|NCBIGene:713:C1QB|NCBIGene:5336:PLCG2|NCBIGene:919:CD247|NCBIGene:79722:ANKRD55|NCBIGene:3560:IL2RB|NCBIGene:3559:IL2RA|NCBIGene:5771:PTPN2|NCBIGene:139818:DOCK11|NCBIGene:9056:SLC7A7|NCBIGene:1776:DNASE1L3|NCBIGene:22861:NLRP1|NCBIGene:5335:PLCG1|NCBIGene:931:MS4A1|NCBIGene:6303:SAT1|NCBIGene:144811:LACC1|NCBIGene:1410:CRYAB|NCBIGene:440275:EIF2AK4|NCBIGene:1314:COPA|NCBIGene:8737:RIPK1|NCBIGene:4313:MMP2|NCBIGene:4358:MPV17|NCBIGene:29775:CARD10|NCBIGene:51371:POMP|NCBIGene:5580:PRKCD|NCBIGene:2582:GALE|NCBIGene:4067:LYN
HP:0003613,Antiphospholipid antibody positivity,The presence of circulating autoantibodies to phospholipids.,Antiphospholipid antibodies|Antiphospholipid antibody|Phospholipid antibody positivity,UMLS:C4019436,ORPHA:391487|ORPHA:93552|OMIM:601859|OMIM:182410|ORPHA:227982|ORPHA:90280|OMIM:615934|ORPHA:781|OMIM:152700|ORPHA:439167|OMIM:225750|ORPHA:80|ORPHA:820|ORPHA:3261|ORPHA:464343|OMIM:603909|ORPHA:70591|ORPHA:163525|ORPHA:227990|ORPHA:90060|OMIM:615559|ORPHA:64743|OMIM:619573,NCBIGene:6772:STAT1|NCBIGene:6775:STAT4|NCBIGene:6696:SPP1|NCBIGene:6303:SAT1|NCBIGene:3654:IRAK1|NCBIGene:356:FASLG|NCBIGene:355:FAS|NCBIGene:51816:ADA2|NCBIGene:340061:STING1|NCBIGene:2213:FCGR2B|NCBIGene:2212:FCGR2A|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:11277:TREX1|NCBIGene:1773:DNASE1|NCBIGene:843:CASP10|NCBIGene:5580:PRKCD|NCBIGene:50619:DEF6
HP:0020050,Anti-granulocyte-macrophage colony stimulating factor antibody positivity,The presence of autoantibodies in the serum that react against granulocyte-macrophage colony stimulating factor.,Anti-GM-CSF antibody positivity,,OMIM:610910|OMIM:614370,NCBIGene:1439:CSF2RB
HP:0020136,Anticardiolipin IgG antibody positivity,The presence of circulating IgG autoantibodies to cardiolipin.,,,ORPHA:80|ORPHA:781|OMIM:615559|ORPHA:464343|ORPHA:64743|OMIM:619573,NCBIGene:5580:PRKCD|NCBIGene:50619:DEF6
HP:0020137,Anticardiolipin IgM antibody positivity,The presence of circulating IgM autoantibodies to cardiolipin.,,,ORPHA:64743|ORPHA:464343|ORPHA:80,
HP:0020151,Anti-dsDNA antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against double-stranded DNA.,Anti-double-stranded DNA antibody positivity,,ORPHA:90002|ORPHA:1855|ORPHA:289390|ORPHA:567544|ORPHA:536|ORPHA:470|OMIM:619375|ORPHA:163525|ORPHA:1929|ORPHA:809|ORPHA:90283|OMIM:614420,NCBIGene:54:ACP5|NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:51284:TLR7|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:3123:HLA-DRB1|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK|NCBIGene:9056:SLC7A7|NCBIGene:8651:SOCS1|NCBIGene:1776:DNASE1L3
